estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1549,2025-07-16 14:56:10,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
384,2025-07-16 20:36:27,2400,2p,0,3,5,2,3,3,3,4,4,1,3,2,3,3,2,2
103,2025-07-16 14:50:04,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1639,2025-07-16 13:24:12,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
611,2025-07-16 22:40:39,2000,2p,0,3,1,5,2,5,3,2,2,1,2,2,3,4,2,2
717,2025-07-16 10:16:01,2600,2q,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1489,2025-07-16 22:22:27,2200,2q,0,3,1,2,3,4,3,4,3,1,3,2,3,3,2,2
1601,2025-07-16 22:01:50,2600,2q,0,3,5,2,3,5,3,4,2,1,2,2,3,3,2,2
735,2025-07-16 21:46:49,2600,2q,0,3,5,3,3,5,3,4,2,1,3,2,3,3,2,2
45,2025-07-16 09:57:42,2800,2q,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1301,2025-07-16 14:01:18,2200,2q,0,3,5,2,3,5,3,1,1,1,3,2,3,3,2,4
1466,2025-07-16 10:09:04,2200,2q,0,3,5,5,3,3,3,4,3,1,3,2,3,3,2,2
1156,2025-07-16 22:02:57,2800,2q,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
401,2025-07-16 11:08:51,2800,2q,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
5,2025-07-16 10:00:40,2600,2q,0,3,5,2,3,5,3,4,4,1,3,2,3,3,2,2
700,2025-07-17 06:24:15,1800,2q,0,3,2,3,3,1,3,4,5,1,3,2,3,3,2,3
242,2025-07-16 17:59:47,2800,2q,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1100,2025-07-16 21:01:33,2600,2q,0,3,5,3,3,5,3,4,2,1,3,2,3,3,2,2
442,2025-07-16 15:09:47,2000,2q,0,3,3,1,3,2,3,1,2,1,3,2,3,3,2,2
59,2025-07-16 19:01:20,2400,2o,0,3,5,2,3,3,3,4,1,1,3,2,3,3,2,2
1143,2025-07-16 11:55:06,2800,2q,0,3,5,2,4,5,3,4,2,1,3,2,3,3,2,2
1616,2025-07-16 19:06:55,2600,2q,0,3,5,2,3,5,3,4,5,1,3,2,3,3,2,2
1645,2025-07-16 21:53:01,2600,2r,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1231,2025-07-16 13:19:33,2400,2r,0,3,5,2,3,4,3,4,2,1,3,2,3,3,2,3
327,2025-07-16 19:45:29,2600,2r,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
1001,2025-07-16 12:52:51,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
927,2025-07-16 21:32:19,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1462,2025-07-16 20:33:39,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
365,2025-07-16 22:31:05,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
250,2025-07-16 09:49:39,2400,2r,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,3
1561,2025-07-16 15:10:59,2400,2r,0,3,5,2,3,3,3,4,2,1,1,2,3,3,2,2
,2025-07-16 11:58:11,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1194,2025-07-16 20:33:24,2600,2r,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
422,2025-07-16 20:57:16,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1542,2025-07-17 03:48:58,2400,2r,0,3,3,2,3,5,3,1,2,1,3,2,3,3,2,2
787,2025-07-16 09:20:04,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
335,2025-07-16 18:18:22,2600,2r,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
153,2025-07-16 14:26:51,2600,2r,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
764,2025-07-16 08:06:27,2800,2r,0,3,5,2,2,1,3,4,2,1,3,2,3,3,2,2
596,2025-07-16 20:56:48,2400,2r,0,3,1,2,3,1,3,4,2,1,3,2,3,3,2,2
1680,2025-07-16 22:18:26,2600,2r,0,3,5,2,3,4,3,4,2,1,3,2,3,3,2,2
440,2025-07-16 23:53:01,2600,2r,0,3,5,2,3,4,3,4,2,1,3,2,3,3,2,2
1475,2025-07-16 21:27:06,2600,2r,0,3,5,2,3,5,3,4,1,1,3,2,3,3,2,2
1376,2025-07-16 20:58:33,2400,2r,0,3,5,2,3,3,3,4,4,1,3,2,3,3,2,2
988,2025-07-16 23:37:55,2400,2r,0,3,5,2,3,1,3,4,2,1,3,2,1,3,2,2
908,2025-07-16 11:49:24,2800,2r,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
325,2025-07-16 19:35:59,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1441,2025-07-16 22:07:01,2600,2s,0,3,5,2,3,5,3,1,2,1,3,2,3,3,2,2
924,2025-07-16 09:36:12,2400,2s,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,3
871,2025-07-16 22:59:36,2400,2s,0,3,5,2,3,3,3,4,5,1,3,2,3,3,2,2
550,2025-07-16 19:38:39,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1488,2025-07-16 21:15:00,1200,2s,0,2,4,3,3,3,3,4,1,1,3,1,5,2,2,2
874,2025-07-16 19:24:11,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
172,2025-07-16 21:28:17,2600,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,1,2
189,2025-07-16 19:52:13,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1363,2025-07-16 19:35:57,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1188,2025-07-16 08:51:08,2400,2s,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1278,2025-07-16 14:22:46,2400,2s,0,3,5,2,3,5,1,4,2,1,3,2,3,3,2,4
480,2025-07-16 19:48:28,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
338,2025-07-16 13:49:42,2600,2s,0,3,5,2,3,5,3,2,2,1,3,2,3,3,2,2
475,2025-07-16 16:29:57,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
605,2025-07-16 09:59:03,2800,2s,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1426,2025-07-17 10:41:22,2200,2s,0,3,5,2,3,3,3,3,2,2,3,2,3,3,2,2
455,2025-07-16 20:21:23,2400,2t,0,3,5,3,3,2,3,4,2,1,3,2,3,3,2,2
1005,2025-07-16 22:21:55,2400,2t,0,3,5,2,3,2,3,4,5,1,3,2,3,3,2,2
184,2025-07-16 19:54:16,2400,2t,0,3,3,2,3,1,3,4,2,1,3,2,3,3,2,2
